成交时间,证券代码,买卖标志,成交价格,成交数量,成交金额,成交编号,账户ID,日期
94202,2815,买入,16.62,200,3324,102000002514314.00 ,680135528,20170430
94202,600584,买入,19.21,100,1921,1751921.00 ,680135528,20170430
94202,703,买入,16.9,500,8450,102000002514553.00 ,680135528,20170430
94202,2007,买入,34.44,500,17220,101000002475115.00 ,680135528,20170430
94202,300425,买入,5.22,600,3132,102000002515060.00 ,680135528,20170430
94204,2127,买入,10.53,500,5265,101000002478637.00 ,680135528,20170430
94204,300065,买入,14.89,100,1489,101000002479731.00 ,680135528,20170430
94204,2430,买入,16.22,300,4866,104000002563703.00 ,680135528,20170430
94204,600859,买入,23.01,300,6903,1755786.00 ,680135528,20170430
94205,2078,买入,10.25,400,4100,101000002483073.00 ,680135528,20170430
94206,2292,买入,11.9,100,1190,104000002567047.00 ,680135528,20170430
94213,2877,买入,21.38,100,2138,104000002585482.00 ,680135528,20170430
94214,603680,买入,36.66,100,3666,1771512.00 ,680135528,20170430
94222,553,买入,15.6,100,1560,104000002604745.00 ,680135528,20170430
94238,8,买入,5.64,600,3384,104000002639302.00 ,680135528,20170430
94320,601607,买入,26,500,13000,1863316.00 ,680135528,20170430
94431,600623,买入,11.65,1200,13980,1953195.00 ,680135528,20170430
94455,603083,买入,37.27,200,7454,1981295.00 ,680135528,20170430
94536,2695,买入,15.71,100,1571,101000002897033.00 ,680135528,20170430
94612,600426,买入,19.02,200,3804,2075738.00 ,680135528,20170430
94711,600176,买入,11.51,200,2302,2142518.00 ,680135528,20170430
94918,300571,买入,64.66,100,6466,101000003241175.00 ,680135528,20170430
94949,601012,买入,24.09,100,2409,2314403.00 ,680135528,20170430
95152,778,买入,4.66,400,1864,103000003605285.00 ,680135528,20170430
95225,600230,买入,27.48,200,5496,2491337.00 ,680135528,20170430
95225,600230,买入,27.48,100,2748,2491357.00 ,680135528,20170430
95241,300253,买入,12.63,1000,12630,102000003602473.00 ,680135528,20170430
95652,975,买入,15.88,100,1588,101000003858987.00 ,680135528,20170430
95657,830,买入,19.18,200,3836,101000003864380.00 ,680135528,20170430
100516,2900,买入,31.35,100,3135,103000004600337.00 ,680135528,20170430
100516,78,买入,5.61,500,2805,104000004538336.00 ,680135528,20170430
100516,2701,买入,5.99,200,1198,102000004480032.00 ,680135528,20170430
100516,2576,买入,10.9,100,1090,102000004480092.00 ,680135528,20170430
100516,915,买入,23.06,200,4612,104000004538408.00 ,680135528,20170430
100517,732,买入,22.32,100,2232,103000004600549.00 ,680135528,20170430
100517,300275,买入,11.2,200,2240,103000004600561.00 ,680135528,20170430
100517,2668,买入,21.46,100,2146,104000004538557.00 ,680135528,20170430
100517,2240,买入,14.81,100,1481,102000004480230.00 ,680135528,20170430
100517,2007,买入,34.77,300,10431,101000004425893.00 ,680135528,20170430
100517,2007,买入,34.78,200,6956,101000004425895.00 ,680135528,20170430
100517,2020,买入,12.34,400,4936,103000004600650.00 ,680135528,20170430
100517,2299,买入,15.48,100,1548,101000004425921.00 ,680135528,20170430
100517,2353,买入,18.39,100,1839,101000004425948.00 ,680135528,20170430
100517,300249,买入,7.09,100,709,101000004425965.00 ,680135528,20170430
100517,600596,买入,16.65,300,4995,3133527.00 ,680135528,20170430
