[1]SecuCode|[2]TradingDay|[3]PrevClosePrice|[4]OpenPrice|[5]HighPrice|[6]LowPrice|[7]ClosePrice|[8]TurnoverVolume|[9]TurnoverValue|[10]SecuMarket|[11]SecuCategory|[12]ListedDate|[13]TradeState|[14]SpecialTradeType|[15]Split|[16]Dividend|[17]ActualPlaRatio|[18]PlaPrice|[19]BaseShares|[20]ActualPlaVol|[21]TotalShares|[22]TotalFloatShares|[23]SecuName|[24]ChiName
000058.SZE|20180102|7.4|7.38|7.5|7.38|7.46|2800775|20888438.8|SZE|A|19961226|trade|0|1.0|0.0|0.0|0.0|0|0|989194931|538271253|深赛格|深圳赛格股份有限公司
000059.SZE|20180102|9.53|9.58|10.19|9.54|10.14|58483508|583842021.9|SZE|A|19970130|trade|0|1.0|0.0|0.0|0.0|0|0|1599442537|1599439081|华锦股份|北方华锦化学工业股份有限公司
000060.SZE|20180102|11.17|11.26|11.32|11.12|11.28|40916112|458735280.8|SZE|A|19970123|trade|0|1.0|0.0|0.0|0.0|0|0|2379790218|2211089460|中金岭南|深圳市中金岭南有色金属股份有限公司
000061.SZE|20180102|7.66|7.66|7.75|7.66|7.7|3282711|25290956.5|SZE|A|19970110|trade|0|1.0|0.0|0.0|0.0|0|0|1696964131|1690402281|农产品|深圳市农产品股份有限公司
000062.SZE|20180102|23.49|23.5|23.74|23.5|23.59|1815200|42884566.0|SZE|A|19970130|trade|0|1.0|0.0|0.0|0.0|0|0|721316774|666949797|深圳华强|深圳华强实业股份有限公司
000063.SZE|20180102|36.36|36.48|36.6|34.78|35.73|89960742|3195105241.3|SZE|A|19971118|trade|0|1.0|0.0|0.0|0.0|0|0|3437169309|3432072828|中兴通讯|中兴通讯股份有限公司
000065.SZE|20180102|18.2|18.08|18.22|17.85|18.22|5801310|104484540.1|SZE|A|19980605|trade|0|1.0|0.0|0.0|0.0|0|0|513003607|408248817|北方国际|北方国际合作股份有限公司
000066.SZE|20180102|7.29|7.3|7.37|7.13|7.16|80139775|576924781.0|SZE|A|19970626|trade|0|1.0|0.0|0.0|0.0|0|0|2944069459|2491027809|中国长城|中国长城科技集团股份有限公司
000068.SZE|20180102|5.05|5.09|5.55|5.07|5.4|12990289|69782471.2|SZE|A|19970611|trade|0|1.0|0.0|0.0|0.0|0|0|1006671464|896671464|华控赛格|深圳华控赛格股份有限公司
000069.SZE|20180102|8.49|8.5|9.15|8.5|8.9|82621628|735606914.2|SZE|A|19970910|trade|0|1.0|0.0|0.0|0.0|0|0|8205681415|6144489147|华侨城A|深圳华侨城股份有限公司
000070.SZE|20180102|9.34|9.38|9.39|9.25|9.36|3551100|33079514.1|SZE|A|20000511|trade|0|1.0|0.0|0.0|0.0|0|0|626994746|541850940|特发信息|深圳市特发信息股份有限公司
